name,address,category,website,phone,rating
BuzzCatz Coffee & Sweets,"25747 Perdido Beach Blvd suite 1, Orange Beach, AL 36561, USA",restaurant,https://www.carmeloitalian.com/,(251) 200-4375,4.5
Cafe Beignet of Alabama OB,"25025 Canal Rd, Orange Beach, AL 36561, USA",restaurant,https://theundertow.shop/,(251) 981-3331,4.3
Caribe Cruiser,"28099 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://caribemarina.com/,(251) 980-8410,4.6
Caribe Marina,"25025 Canal Rd, Orange Beach, AL 36561, USA",restaurant,https://theundertow.shop/,(251) 981-3331,4.6
Chute Em Up Parasail,"27212 Marina Rd, Orange Beach, AL 36561, USA",water-activities,http://parasailorangebeach.com/,(251) 981-7673,4.9
Chute for the Skye Parasailing,"27206 Safe Harbor Dr, Orange Beach, AL 36561, USA",water-sports-rental,https://chuteskyeparasail.com/,(251) 979-2475,4.7
City Donut,"4724 Main St, Orange Beach, AL 36561, USA",restaurant,https://www.citydonutob.com/?utm_source=google+&utm_medium=organic&utm_campaign=gbp,(251) 981-3688,4.6
Coastal Coffee Co.,"5749 Bay La Launch Ave, Orange Beach, AL 36561, USA",restaurant,https://www.osobearpoint.com/,(251) 345-6738,4.5
Coastal Orange Beach,"24705 Canal Rd, Orange Beach, AL 36561, USA",restaurant,https://www.brickandspoon.com/,(251) 981-7772,4.6
Coastal Store,"25698 Perdido Beach Blvd, Orange Beach, AL 36561, USA",shopping,https://coastalclothingcompany.com/,(251) 240-6001,5
CoastEase Tikis,"Reel Surprise Marina, 27267 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://www.coasteasetikis.com/,(850) 404-9927,5
Cool Change Charters,"26619 Perdido Beach Blvd Suite WBO2, Orange Beach, AL 36561, USA",water-activities,https://www.coolchangecharter.com/,(251) 979-1812,4.7
Crave Cookies,"25814 Canal Rd, Orange Beach, AL 36561, USA",restaurant,https://bigfishrestaurantbar.com/,(251) 981-5516,4.5
Cruisin' Tikis Orange Beach,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,http://www.cruisintikisorangebeach.com/,(844) 622-8454,4.9
Custom Cruises,"28101 Perdido Beach Blvd B10, Orange Beach, AL 36561, USA",water-activities,,(251) 732-6734,5
Daisy’s Donuts (Boba & Kolaches),"4575 S Wilson Blvd, Orange Beach, AL 36561, USA",restaurant,http://www.avepub.com/,(251) 200-0250,4.6
Daxx Gift Boutique,"27267 Perdido Beach Blvd #108, Orange Beach, AL 36561, USA",shopping,https://shopdaxx.com/,,5
Deep South Cake Company,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,https://theportatzekes.com/,(251) 341-2867,4.7
Del's Ice Cream,"26189 Canal Rd, Orange Beach, AL 36561, USA",restaurant,http://www.gtsonthebay.com/,(251) 980-8400,4.5
Distraction Charters,"27075 Marina Rd E-12, Orange Beach, AL 36561, USA",water-activities,https://distractioncharters.com/,(251) 975-8111,5
Dolphin & Sailing Tours by Cetacean Cruises,"4673 Wharf Pkwy W, Orange Beach, AL 36561, USA",water-activities,http://cetaceancruises.com/,(251) 550-8000,4.9
Dolphin Cruises Aboard Cruise Orange Beach,"27844 Canal Rd, Orange Beach, AL 36561, USA",water-activities,http://www.cruiseob.com/,(251) 986-6694,4.8
Dolphin Cruises Aboard Dolphin Tales,"Dock C (no onsite office, 26619 Perdido Beach Blvd Slip 32, Orange Beach, AL 36561, USA",water-activities,http://www.10dolphincruise.com/,(251) 269-5555,4.8
Dolphin Cruises Aboard the Cold Mil Fleet,"5749 Bay La Launch Ave, Orange Beach, AL 36561, USA",water-activities,https://www.dolphincruises.com/,(251) 943-3510,4.9
"Dolphin Cruises and Island Tours at Hudson Marina, Orange Beach","4575 S Wilson Blvd, Orange Beach, AL 36561, USA",water-activities,https://hudsonmarina.net/dolphin-cruises/,(251) 981-4127,4.9
Dolphins Down Under,"28101 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://www.dolphinsdownunder.net/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(251) 968-4386,4.9
E Bike of Orange Beach,"25405 Perdido Beach Blvd STE 21, Orange Beach, AL 36561, USA",beach-rentals,http://ebikeoforangebeach.com/,(251) 413-0714,4.9
Emporium@C - Coastal Gifts & More - Orange Beach,"25405 Perdido Beach Blvd #11, Orange Beach, AL 36561, USA",shopping,http://www.emporiumatc.com/,(251) 981-8444,4.6
Extreme Chaos Fishing Charters,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://www.extremechaos.fish/,(228) 365-2352,5
Fat Daddy's Arcade,"24565 Perdido Beach Blvd, Orange Beach, AL 36561, USA",entertainment,https://fatdaddysarcade.com/,(251) 980-1050,4.1
Fins and Family Fishing,"3900 Bayou Rd, Orange Beach, AL 36561, USA",water-activities,http://www.finsandfamilyfishing.com/,(251) 888-2991,4.5
Fish On A Dish,"4830 Main St #109, Orange Beach, AL 36561, USA",shopping,,(251) 981-8323,4.5
Fishing made EZY,"28101 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://www.fishingmadeezy.com/,(251) 961-7783,5
Flora-Bama Marina & Watersports,"27075 Marina Rd, Orange Beach, AL 36561, USA",restaurant,https://www.shippsdockside.com/,(251) 412-7447,4.7
Foil Gulf Coast,"5677 Bayou St John Ave, Orange Beach, AL 36561, USA",water-sports-rental,http://www.foilgulfcoast.com/,(972) 746-7276,5
"Freedom Boat Club - Orange Beach, AL","27844 Canal Rd, Orange Beach, AL 36561, USA",water-sports-rental,https://orangebeachboatclub.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(850) 497-0130,4.9
Frost Bites Gulf Shores/Orange Beach,"4830 Wharf Pkwy W G101, Orange Beach, AL 36561, USA",restaurant,http://islandtimedaiquiris.com/,(251) 224-0265,4.2
Game Kastle (Orange Beach),"24515 Commercial Ave, Orange Beach, AL 36561, USA",restaurant,https://locations.papajohns.com/united-states/al/36561/orange-beach/24515-commercial-avenue,(251) 981-7200,3.3
Get It Going Tiki Ride,"26350 Cotton Bayou Dr, Orange Beach, AL 36561, USA",water-sports-rental,https://getitgoingtikiride.com/,(251) 256-9091,5
Getaway Charters,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://getawaygulffishing.com/,(251) 600-5850,5
Gifted. Orange Beach,"27267 Perdido Beach Blvd B113, Orange Beach, AL 36561, USA",shopping,,(251) 980-4438,5
GTs On The Bay,"25722 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,https://www.coastalorangebeach.com/,(251) 240-6001,4.6
Gulf Coast Rental Co,"25150 Canal Rd Suite B, Orange Beach, AL 36561, USA",beach-rentals,http://www.gulfcoastrentalco.com/,(251) 510-7226,4.9
Gulf Rebel Charters,"4680 Burkart Ln, Orange Beach, AL 36561, USA",water-activities,http://www.gulfrebelcharters.com/,(251) 981-3119,5
Gulf Shores Fishing,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,http://gulfshoresfishingcharter.com/,(251) 747-3126,4.9
Happy Harbor Marina & Dry Storage,"27212 Marina Rd, Orange Beach, AL 36561, USA",water-sports-rental,http://happyharbors.com/,(251) 981-6111,4.6
Hooked Up Fishing Charters,"26350 Cotton Bayou Dr, Orange Beach, AL 36561, USA",water-activities,https://hookeduporangebeach.com/,(251) 223-7558,5
Hudson Marina Deep Sea Fishing,"4575 S Wilson Blvd, Orange Beach, AL 36561, USA",water-sports-rental,https://hudsonmarina.net/4-hour-fishing-charter/,(251) 981-4127,4.3
Ike's Parasail Orange Beach,"27550 Larry C Kelley Rd, Orange Beach, AL 36561, USA",water-sports-rental,https://parasail-orangebeach.com/,(251) 981-0055,4.8
Infinity Bicycles,"4575 Orange Beach Blvd, Orange Beach, AL 36561, USA",beach-rentals,https://www.infinity-bicycles.com/?y_source=1_MTU0OTc0NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(251) 974-1727,4.9
Island Cruizer Boat Rentals,"24689 Canal Rd, Orange Beach, AL 36561, USA",water-sports-rental,https://islandcruizerboatrentals.com/,(251) 407-6333,5
Island Slide Adventure Orange Beach,"4575 S Wilson Blvd, Orange Beach, AL 36561, USA",water-activities,https://hudsonmarina.net/island-tours/,(251) 981-1157,1
Island Time Private Boat Charters,"26350 Cotton Bayou Dr, Orange Beach, AL 36561, USA",water-activities,https://islandtimepbc.com/,(251) 301-6716,5
Jet Boat Orange Beach & Gulf Shores,"4575 S Wilson Blvd, Orange Beach, AL 36561, USA",water-activities,https://hudsonmarina.net/jet-boat-thrill-ride/,(251) 981-4127,5
Kayden’s Homemade Candies & Ice Cream,"27267 Perdido Beach Blvd #201, Orange Beach, AL 36561, USA",restaurant,http://www.thelouisianalagniappe.com/,(251) 981-2258,4.6
Kilwins Ice Cream - Chocolate - Fudge,"25689 Canal Rd Suite B, Orange Beach, AL 36561, USA",restaurant,http://lunaseatanddrink.com/,(251) 980-5862,4.6
Maggie's Gift Shop,"25753 Canal Rd, Orange Beach, AL 36561, USA",shopping,https://cosmosrestaurantandbar.com/maggies/,(251) 981-1968,4.1
Milkshake Momma (Mama) Orange Beach,"26796 Canal Rd, Orange Beach, AL 36561, USA",restaurant,https://www.facebook.com/thekegloungeandgrill,(251) 981-9462,4.3
Oasis Beachside Cafe & Bar,"26009 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,https://cottonsorangebeach.com/,(251) 981-9268,3.9
OB Watersports,"25405 Perdido Beach Blvd Suite 10, Orange Beach, AL 36561, USA",restaurant,https://www.surfsidepizza.com/,(251) 981-2911,4.3
Orange Beach Boat Rentals,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,https://www.zekeslanding.com/,(251) 280-8008,4.9
Orange Beach Fishing Charters and Saltwater Guides,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,http://orange-beach.saltwater-fishing-charters.com/,(251) 265-1122,4.6
Orange Beach Marina,"27075 Marina Rd, Orange Beach, AL 36561, USA",water-sports-rental,http://www.orangebeachmarina.com/,(251) 981-4207,4.7
Orange Beach Parasail,"27844 Canal Rd, Orange Beach, AL 36561, USA",water-activities,http://www.obparasail.com/,(251) 981-8359,5
Orange Beach Pirate Ship,"4575 S Wilson Blvd Slip2, Orange Beach, AL 36561, USA",water-activities,https://hudsonmarina.net/pirate-adventure/,(251) 981-4127,4.8
Orange Beach Pontoon Boats,"27267 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-sports-rental,https://orangebeachpontoonboats.com/,(251) 597-6816,4.9
Orange Beach Pontoons,"29209 Perdido Beach Blvd APT 101, Orange Beach, AL 36561, USA",water-sports-rental,,(251) 210-7800,5
Orange Beach Private Family Dolphin Tours & Boating Safaris,"5749 Bay La Launch Ave Slip C 5 & 6, Orange Beach, AL 36561, USA",water-activities,https://www.dolphincruisesorangebeach.com/,(251) 609-3444,4.9
Outer Limits VR Game Room,"4700 Main St N-101, Orange Beach, AL 36561, USA",entertainment,http://www.vrfunplays.com/,(251) 240-0647,4.3
Parasail Sky Surfer,"27101 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://parasailskysurfer.com/,(251) 923-4808,4.8
Pelican Boat Rentals,"22830 Brown Ln, Orange Beach, AL 36561, USA",water-sports-rental,https://www.rentpelicanboats.com/,(251) 752-8322,5
Perdido Beach Service,"25328 Canal Rd, Orange Beach, AL 36561, USA",water-sports-rental,http://perdidobeachservice.com/,(251) 981-4807,4.5
Petes Ice Cream and Donuts,"24151 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,(251) 360-2400,4.5
Pleasure Island Parasail at Sportsman Marina,"4619 Main St A101, Orange Beach, AL 36561, USA",restaurant,https://www.teeoffatthewharf.com/,(251) 228-4899,4.8
Pontoon Boat Rentals Hudson Marina,"4790 Main St f108, Orange Beach, AL 36561, USA",restaurant,http://villaggiogrille.com/,(251) 224-6510,4.4
Publix Super Market at The Shoppes at Palm Pointe,"25755 Perdido Beach Blvd ste f1, Orange Beach, AL 36561, USA",restaurant,http://www.rotolos.com/,(251) 981-8895,4.1
Redline Inshore Fishing Charters,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://redlineinshorefishing.com/,(251) 333-8231,5
Robinson Island,"Orange Beach, AL 36561, USA",water-activities,,,5
Ron Jon Surf Shop - Orange Beach,"22723 Perdido Beach Blvd, Orange Beach, AL 36561, USA",shopping,https://www.ronjonsurfshop.com/store/orange-beach-alabama,(251) 981-8008,4.5
Ruby Slipper,"24131 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,http://www.wolfbaylodge.com/,(251) 965-5129,4.5
Sail Wild Hearts,"27075 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://sailwildhearts.com/,(251) 981-6700,4.8
Sailing Orange Beach Adventures,"4575 S Wilson Blvd, Orange Beach, AL 36561, USA",water-activities,http://www.sailob.com/,(251) 981-7245,4.8
Salty Dog inshore charter Fishing -Captain Mitch,"4555 Captain Trent Ln, Orange Beach, AL 36561, USA",water-activities,http://saltydoginshore.com/,(251) 583-8806,5
SanRoc Cay Marina - Shopping,"27267 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://sanroccay.com/,(251) 980-0016,4.6
Sea View Tours,"28101 Perdido Beach Blvd B1, Orange Beach, AL 36561, USA",water-sports-rental,http://seaviewtoursal.com/,(251) 385-1710,4.5
Southern Belle Luxury Cruises,"27267 Perdido Beach Boulevard, Bayou Rd Ste. 100B 3900, Orange Beach, AL 36561, USA",water-activities,,(352) 325-0705,5
Southern Bend Inshore and Offshore Fishing Charters,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,http://www.southernbendcharters.com/,(251) 677-7117,5
Southern Rose Dolphin Trips,"27212 Marina Rd, Orange Beach, AL 36561, USA",water-activities,http://southernrosedolphintrips.com/,(251) 981-7673,4.5
Southern Sun Inshore Charters,"28101 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,http://southernsuninshorecharters.com/,(251) 714-3098,5
Souvenir City of Orange Beach,"4673 Wharf Pkwy W b, Orange Beach, AL 36561, USA",restaurant,https://www.milemarker158.com/,(251) 224-6500 ext. 4,4.4
St Charles Place,"25241 Perdido Beach Blvd STE W, Orange Beach, AL 36561, USA",shopping,https://www.gulfshores.com/things-to-do/st-charles-place/,(251) 981-6400,4.5
Sunny Lady Dolphin Cruises at The Wharf,"4673 Wharf Pkwy W, Orange Beach, AL 36561, USA",water-activities,https://www.dolphincruiseorangebeach.com/,(251) 589-7117,4.9
"Surf Style 204: Surf, Swimwear, Sporting Goods in Orange Beach","27401 Perdido Beach Blvd, Orange Beach, AL 36561, USA",shopping,https://surfstyle.com/pages/surf-style-store-204?utm_source=google&utm_medium=organic&utm_campaign=gbl,(954) 924-9779,4.2
Surf's Up Dolphin Cruises,"28101 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://surfsupdolphincruise.com/,(251) 965-7873,4.8
SWEET CONE ALABAMA ICE CREAM,"27267 Perdido Beach Blvd #115, Orange Beach, AL 36561, USA",restaurant,http://www.gulfshoressteamer.com/,(251) 948-6344,4.3
Tallulah's Treasures,"25122 Perdido Beach Blvd #6209, Orange Beach, AL 36561, USA",shopping,https://www.facebook.com/TALLULAHSTREASURESUSA,(251) 981-6003,4.7
Tank It Scuba + Marine Contractors,"24360 Canal Rd, Orange Beach, AL 36561, USA",water-activities,https://www.tankitscuba.com/,(251) 233-5574,5
The Beach Bun,"25753 Canal Rd, Orange Beach, AL 36561, USA",restaurant,http://www.cosmosrestaurantandbar.com/,(251) 948-9663,4.6
The Beach Store,"25741 Perdido Beach Blvd j, Orange Beach, AL 36561, USA",shopping,,(251) 981-3155,4.5
The Fun Boats Dolphin Cruises,"3900 Bayou Rd, Orange Beach, AL 36561, USA",water-activities,http://dolphincruises.net/,(251) 971-1893,4.9
The Hummingbird Zipline Course,"4830 Main St Ste. G-114, Orange Beach, AL 36561, USA",entertainment,https://gulfadventurecenter.com/,(251) 948-9494,4.8
The Orange Beach Store,"25777 Perdido Beach Blvd, Orange Beach, AL 36561, USA",shopping,https://theorangebeachstore.com/,(251) 981-0988,4.4
The Southern Grind at INDIGO,"28099 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,http://www.cobaltrestaurant.net/,(251) 923-5300,4.5
The Southern Grind Coffee House at the WHARF,"27500 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,http://www.thegulf.com/locations/orange-beach,(251) 424-1800,4.7
The Sugar Shack & Cafe,"25405 Perdido Beach Blvd #25, Orange Beach, AL 36561, USA",restaurant,http://www.sugarshackcafeob.com/,(251) 403-0828,3.6
The Wharf Marina,"4851 Wharf Pkwy E d118, Orange Beach, AL 36561, USA",water-sports-rental,https://alwharf.com/,(251) 224-1900,4.6
The Wharf Store,"4851 Wharf Pkwy E d118, Orange Beach, AL 36561, USA",shopping,https://shopthewharf.com/,(251) 224-1904,3.5
Top Tier Watersports,"25311 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,http://mycactuscantina.com/,(251) 981-4628,4.2
Trading Co.Orange Beach,"24891 Perdido Beach Blvd, Orange Beach, AL 36561, USA",shopping,,,4.1
Villaggio Grille,"24221 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,http://docsseafoodandsteak.com/,(251) 281-0888,4.1
Wahoo Watersports,"27206 Safe Harbor Dr, Orange Beach, AL 36561, USA",restaurant,http://tackyjacks.com/,(251) 981-4144,4.5
Walmart Bakery,"4851 Wharf Pkwy W, Orange Beach, AL 36561, USA",restaurant,https://www.walmart.com/store/5653-orange-beach-al/bakery/,,4.5
Wave Jet Ski Rental,"22843 Perdido Beach Blvd, Orange Beach, AL 36561, USA",restaurant,http://www.thesoutherngrind.com/,(251) 975-2883,4.4
Wilcox Diving,"32671 Sandpiper Dr, Orange Beach, AL 36561, USA",water-activities,http://wilcoxdiving.com/,(251) 597-4184,3.7
Wild Orange Charters,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,http://www.wildorangebeachfishing.com/,(251) 233-0465,4.7
Wind and Water Learning Center,"26233 Canal Rd, Orange Beach, AL 36561, USA",water-sports-rental,https://www.orangebeachal.gov/386/Wind-Water-Learning-Center,(251) 424-5909,5
Zeke's Lady,"26619 Perdido Beach Blvd, Orange Beach, AL 36561, USA",water-activities,https://www.zekeslanding.com/yacht_charters/zekes-lady/,(251) 981-4044,3.8
Zeke's Restaurant,"25908 Canal Rd, Orange Beach, AL 36561, USA",restaurant,http://www.mycactuscantina.com/,(251) 974-0060,4.9
