name,address,category,website,facebook,instagram,phone,rating
COASTAL Orange Beach,"25722 Perdido Beach Blvd, Orange Beach, AL 36561",restaurants,https://www.coastalorangebeach.com,,,(251) 240-6001,4.5
"Cobalt, The Restaurant","27842 Canal Rd, Orange Beach, AL 36561",restaurants,https://cobaltrestaurant.net/,https://www.facebook.com/CobaltAlabama,https://www.instagram.com/cobalt_therestaurant,(251) 981-9891,4.7
Cosmo's Restaurant & Bar,"25753 Canal Rd, Orange Beach, AL 36561",restaurants,https://www.cosmosob.com/,https://www.facebook.com/cosmosob,https://www.instagram.com/cosmosob,(251) 948-9663,4.6
Cotton Bayou Boat Launch,"4650 Cotton Bayou Dr, Orange Beach, AL 36561",boat-launch,https://www.orangebeachal.gov,,,(251) 981-6979,
Cotton's Restaurant & Lounge,"26009 Perdido Beach Blvd, Orange Beach, AL 36561",restaurants,https://cottonsrestaurant.com,,,(251) 981-9268,4.5
Dippin' Dots (The Wharf),"4830 Main St Ste G112, Orange Beach AL 36561",sweets,,,,(251) 224-3687,4.5
Doc's Seafood & Steaks,"26029 Canal Rd, Orange Beach, AL 36561",restaurants,,,,(251) 981-6999,4.5
Flora-Bama Ole River Grill,"17400 Perdido Key Dr, Perdido Key / Orange Beach Line",restaurants,—,,,—,4.5
Flora-Bama Yacht Club,"17350 Perdido Key Drive, Perdido Key / Orange Beach Line",restaurants,—,,,—,4.5
Groovy Goat (The Wharf),"4776 Main St Ste L208, Orange Beach, AL 36561",restaurants,https://groovygoat.com,,,(251) 424-1700,4.5
GT's On The Bay,"27267 Perdido Beach Blvd, Orange Beach, AL 36561",restaurants,https://gtsonthebay.com/,,,(251) 981-6100,4.6
Gulf Shores Steamer,"27267 Perdido Beach Blvd #115, Orange Beach, AL 36561",restaurants,https://gulfshoressteamer.com,,,(251) 948-6344,4.5
Island Time Daiquiris (The Wharf),"4830 Wharf Pkwy G101A, Orange Beach AL 36561",restaurants,,,,(251) 224-0265,4.5
The Keg Lounge & Grill (Orange Beach),"26796 Canal Rd, Orange Beach, AL 36561",restaurants,,,,(251) 981-9461,4.5
Kilwins (The Wharf),"4751 Main St Unit F113, Orange Beach AL 36561",sweets,https://kilwins.com,,,(251) 981-3120,4.5
Mamma Mia Pizzeria & Italian Grill,"24895 Canal Rd, Orange Beach AL 36561",restaurants,https://mammamiaorangebeach.com,,,(251) 974-0775,4.5
Mikee's Seafood,"251 Gulf Shores Pkwy, Gulf Shores, AL 36542",restaurants,https://mikeesseafood.com,,,(251) 948-6452,4.5
Mile Marker 158 Dockside (The Wharf),"4673 Wharf Pkwy W, Orange Beach, AL 36561",restaurants,https://milemarker158.com,,,(251) 224-6500,4.5
Mile Marker 158 Dockside,"4673 Wharf Parkway W, Suite B, Orange Beach, AL 36561",restaurants,https://milemarker158.com,,,(251) 224-6500 ext. 4,4.5
Orange Beach Indian & Sea Museum,"25850 John M Snook Dr, Orange Beach, AL 36561",activities,https://orangebeachal.gov/museum,,,(251) 981-8545,4.3
Orange Beach Waterfront Park Beach Access,"26425 Perdido Beach Blvd, Orange Beach, AL 36561",beach-access,https://www.orangebeachal.gov,,,(251) 981-6979,
OSO Bear Point Restaurant,"5749 Bay La Launch Ave, Orange Beach, AL 36561",restaurants,https://osobearpoint.com,,,(251) 345-6738,4.6
Papa's Pizza – Orange Beach,"25405 Perdido Beach Blvd #22, Orange Beach AL 36561",restaurants,https://papaspizzaorangebeach.com,,,(251) 981-6777,4.5
Pelican Grill,"27267 Perdido Beach Blvd., Orange Beach, AL 36561",restaurants,https://www.pelicangrillob.com,,,(251) 483-3665,4.5
Perdido Beach Resort,"27200 Perdido Beach Blvd, Orange Beach, AL 36561",hotels,https://www.perdidobeachresort.com,,,(251) 981-9811,4.5
Roasted Oak Restaurant & Wine Bar,"25775 Perdido Beach Blvd Ste A1, Orange Beach, AL 36561",restaurants,https://roastedoakoba.com,,,(251) 980-8110,4.5
Rotolo's Pizzeria (Orange Beach),"25755 Perdido Beach Blvd, Orange Beach AL 36561",restaurants,https://rotolos.com,,,(251) 981-8891,4.5
Ruby Slipper Café (Orange Beach),"24151 Perdido Beach Blvd, Orange Beach AL 36561",restaurants,https://rubyslippercafe.net,,,(251) 923-4116,4.5
Shipp's Dockside Grill (Orange Beach Marina),"27267 Perdido Beach Blvd (Orange Beach Marina), Orange Beach, AL 36561",restaurants,https://shippsdockside.com,,,(251) 981-5516,4.5
The Southern Grind – Hotel Indigo Location,"22843 Perdido Beach Blvd, Orange Beach AL 36561",restaurants,,,,(251) 923-3265,4.5
The Southern Grind Coffee House – The Wharf,"4751 Main St #116, Orange Beach AL 36561",restaurants,https://southerngrindcoffeehouse.com,,,(251) 923-3265,4.5
The Sugar Shack,"4851 Wharf Pkwy, Orange Beach, AL 36561",sweets,https://sugarshack.com,,,(251) 555-0400,
Surfside Pizza (Orange Beach),"25241 Perdido Beach Blvd, Orange Beach AL 36561",restaurants,https://surfsidepizza.com,,,(251) 974-1010,4.5
Sweet Cone Alabama (Candy & Ice Cream),"26651 Perdido Beach Blvd Ste C, Orange Beach AL 36561",restaurants,,,,(251) 981-1675,4.5
Sweet Retreat Ice Cream & Desserts,"25900 Perdido Beach Blvd, Orange Beach, AL 36561",sweets,https://sweetretreat.com,,,(251) 555-0200,
Tacky Jacks,"27206 Safe Harbor Dr, Orange Beach, AL 36561",restaurants,https://tackyjacks.com,,,(251) 981-4144,4.3
Tee Off at The Wharf,"4619 Main Street Suite A102, Orange Beach, Alabama 36561",restaurants,https://teeoffatthewharf.com,,,(251) 228-4899,4.5
Tequila Mexican Restaurant – Orange Beach,"25405 Perdido Beach Blvd Ste 1, Orange Beach AL 36561",restaurants,https://tequilamexicanoba.com,,,(251) 981-5350,4.5
Terry Cove Harbour Boat Launch,"4700 Terry Cove Dr, Orange Beach, AL 36561",boat-launch,https://www.terrycoveharbour.com,,,(251) 981-4127,
The Gulf,"27500 Perdido Beach Blvd, Orange Beach, AL 36561",restaurants,https://thegulf.com/locations/orange-beach/,,,(251) 974-1100,4.8
Tiki & Raw Bar,"27844 Canal Rd, Orange Beach, AL",restaurants,https://tikibarorangebeach.com,,,(251) 000-0000,4.5
The Undertow Bar & Grill (Orange Beach),"25025 Canal Rd, Orange Beach, AL 36561",restaurants,https://undertowob.com,,,(251) 981-9811,4.5
Villaggio Grille,"4790 Main Street, Orange Beach, AL 36561",restaurants,https://villaggiogrille.com/,,,(251) 224-4788,4.6
Wolf Bay Orange Beach,"24131 Perdido Beach Blvd, Orange Beach, AL 36561",restaurants,https://www.wolfbay.com,,,(251) 965-5129,4.5
Wolf Bay Restaurant,"26619 Perdido Beach Blvd, Orange Beach, AL 36561",restaurants,https://wolfbayrestaurant.com/,,,(251) 981-6991,4.5
