name,address,category,website,phone,rating,place_id
Big Fish Restaurant,"25814 Canal Rd, Orange Beach, AL 36561, USA",RESTAURANTS,https://bigfishrestaurantbar.com/,(251) 981-5516,4.5,ChIJNYHyl04GmogRUllxWx1wRkc
Tiki & Raw Bar,"27844 Canal Rd, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.tikibarorangebeach.com/,(251) 277-4800,4.4,ChIJXaeFO5IHmogR-_lc83OhthM
Villaggio Grille,"4790 Main St f108, Orange Beach, AL 36561, USA",RESTAURANTS,http://villaggiogrille.com/,(251) 224-6510,4.4,ChIJbaMnU8MFmogRz0WOaS-DJqQ
Island Time Daiquiris & Pizza at The Wharf,"4830 Wharf Pkwy W G101, Orange Beach, AL 36561, USA",RESTAURANTS,http://islandtimedaiquiris.com/,(251) 224-0265,4.2,ChIJn9f8HN0FmogRioNaU4U3I0c
San Bar at the wharf,"4851 Wharf Pkwy W, Orange Beach, AL 36561, USA",RESTAURANTS,,,4.5,ChIJ8eBXPqAHmogRMbXO-tPh-ik
Ruby Slipper,"24151 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.rubybrunch.com/?olonwp=JjBtp_vMLk25gkYh_bnoiQ,(251) 360-2400,4.5,ChIJB8tsOpsGmogRg1lcanY1cz8
Walmart Neighborhood Market,"25241 Perdido Beach Blvd STE W, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.walmart.com/store/5653-orange-beach-al/?veh=seo_loc,(251) 974-1810,4.2,ChIJlWY0UPEGmogRgEGFBDqx8Bw
Subway,"25814 Canal Rd Suite 10, Orange Beach, AL 36561, USA",RESTAURANTS,https://restaurants.subway.com/united-states/al/orange-beach/25814-canal-rd?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=30694&utm_campaign=evergreen-2020&y_source=1_MTQ4OTQ1ODMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(251) 981-4184,3.6,ChIJNYHyl04GmogR1w1iyM87r9A
Pizza Hut,"25908-i Canal Rd, Orange Beach, AL 36561, USA",RESTAURANTS,https://locations.pizzahut.com/al/orange-beach/25908-i-canal-road?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=304935,(251) 981-8900,3.5,ChIJk8-EcUwGmogRGM1tvaBVb3g
City Donut,"25751 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.citydonutob.com/?utm_source=google+&utm_medium=organic&utm_campaign=gbp,(251) 981-3688,4.6,ChIJrSvi4QcHmogRoFfvOLRmoF4
Kayden’s Homemade Candies & Ice Cream,"25241 Perdido Beach Blvd Unit 107, Orange Beach, AL 36561, USA",RESTAURANTS,http://kaydenscandyfactory.com/,(251) 923-5500,4.3,ChIJUyAHCggHmogR0jaUxXHNtBY
Crave Cookies,"Portside at The Wharf, 4593 Main St, Orange Beach, AL 36561, USA",RESTAURANTS,https://cravecookies.com/,(251) 262-6777,4.8,ChIJ41be2F4HmogR_lgdm8uZqh0
Bagel Boy,"3 Market St, Orange Beach, AL 36561, USA",RESTAURANTS,,(251) 252-5396,4.7,ChIJ9WoLY4oPmogRw-Oe87_M3Sc
Walmart Bakery,"25241 Perdido Beach Blvd STE W, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.walmart.com/store/5653-orange-beach-al/bakery/,,0,ChIJVVUV_PMGmogRCZ4YJy5V2HA
Deep South Cake Company,"25405 Perdido Beach Blvd #5, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.facebook.com/deepsouthcakecompany/,(251) 978-3100,4.7,ChIJNSfwfwsHmogRomGADhguxpc
Publix Super Market at The Shoppes at Palm Pointe,"25771 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.publix.com/?setstorenumber=1213&utm_medium=maps&utm_source=extendednetwork&utm_content=psm_website_url,(251) 980-1400,4.6,ChIJU0MVlaoHmogRj65WGIJ_nz0
Original Romar House B & B Inn,"23500 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,http://www.theoriginalromarhouse.com/,(251) 974-1625,4.9,ChIJJ4W9oSYEmogR-1cAWYUkpvM
Live Bait Night Club,"24281 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.livebaitrestaurant.com/nightclub,(251) 974-1612,4.1,ChIJ20P1EoUGmogRYjvNebmUozE
Papa John's Pizza,"24515 Commercial Ave, Orange Beach, AL 36561, USA",RESTAURANTS,https://locations.papajohns.com/united-states/al/36561/orange-beach/24515-commercial-avenue,(251) 981-7200,3.3,ChIJsUmN4rcEmogRAzoLxzgXS1I
Domino's Pizza,"25814 Canal Rd Ste 6, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps,(251) 981-8880,3.5,ChIJNYHyl04GmogRTNR5UExQ-rM
Sbarro,"23679 Canal Rd, Orange Beach, AL 36561, USA",RESTAURANTS,https://sbarro.com/locations/alabama/orange-beach/orange-beach/,(251) 283-3582,2.8,ChIJbRpmsHkFmogRoWdRRAhmeI4
Smoothie King,"24824 Canal Rd, Orange Beach, AL 36561, USA",RESTAURANTS,https://locations.smoothieking.com/ll/us/al/orangebeach/24824-canal-rd/?utm_source=google&utm_medium=organic&utm_content=SOCi,(251) 223-4892,4.2,ChIJvTvwBCQHmogRt587FxgPkrc
Domino's Pizza,"3099 Loop Rd Suite 2, Orange Beach, AL 36561, USA",RESTAURANTS,https://pizza.dominos.com/alabama/orange-beach/3099-loop-rd-unit-2/,(251) 200-5600,3.1,ChIJI1EeclUHmogRitfaWW9Bbgw
Surfside Pizza Orange Beach,"25405 Perdido Beach Blvd Suite 10, Orange Beach, AL 36561, USA",RESTAURANTS,https://www.surfsidepizza.com/,(251) 981-2911,4.3,ChIJfRPbBxkHmogRPTB4Tavnp_E
Latitude 30,"27200 Perdido Beach Blvd, Orange Beach, AL 36561, USA",RESTAURANTS,http://www.perdidobeachresort.com/dining/latitude-30,(251) 981-9811,4.1,ChIJK4TikwoHmogRxGwlt2_gRZI
Daisy’s Donuts (Boba & Kolaches),"26651 Perdido Beach Blvd A, Orange Beach, AL 36561, USA",RESTAURANTS,,(251) 200-0040,4.2,ChIJLftF5LUHmogRcovw67sF4gM
Prosperous Pelican Gallery,"24823 Commercial Ave #4, Orange Beach, AL 36561, USA",ATTRACTIONS,,(251) 981-2022,4.6,ChIJjQvxDmkGmogRYOsBYr6Qypg
Sun Outdoors Orange Beach,"4100 Pandion Blvd, Orange Beach, AL 36561, USA",ATTRACTIONS,https://www.sunoutdoors.com/alabama/sun-outdoors-orange-beach?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,(844) 707-4343,4.6,ChIJqZDrIsYFmogRta1W4Y30MQ4
The Backcountry Trail,"Parking lot, 3801 Orange Beach Blvd, Orange Beach, AL 36561, USA",ATTRACTIONS,https://www.orangebeachal.gov/369/Hugh-S-Branyon-Backcountry-Trail,(251) 981-1063,4.9,ChIJg4YT468HmogRlmzW5-AyWGA
Dolphin Cruises Aboard Dolphin Tales,"Dock C (no onsite office, 26619 Perdido Beach Blvd Slip 32, Orange Beach, AL 36561, USA",ATTRACTIONS,http://www.10dolphincruise.com/,(251) 269-5555,4.8,ChIJn7NoGA6okIgRgqBIRWlNKLk
Alabama Point East,"28105 Perdido Beach Blvd, Orange Beach, AL 36561, USA",ATTRACTIONS,http://alapark.com/,,4.7,ChIJ9ZTVQIIHmogRfB2kQ_qp17s
Dolphins Down Under,"28101 Perdido Beach Blvd, Orange Beach, AL 36561, USA",ATTRACTIONS,https://www.dolphinsdownunder.net/?utm_source=google&utm_medium=organic&utm_campaign=gbp,(251) 968-4386,4.9,ChIJR1bZlp8HmogRAWPP7dnDgoU
Ferris Wheel,"23101 Canal Rd, Orange Beach, AL 36561, USA",ATTRACTIONS,https://alwharf.com/directory/ferris-wheel,(251) 224-1000,4.4,ChIJ2RfrTdsFmogRGRtbovayoa4
Breakout Games,"4776 Main St Suite L208, Orange Beach, AL 36561, USA",ATTRACTIONS,https://www.breakoutgames.com/orange-beach/bookings?utm_source=google&utm_medium=organic&utm_campaign=gmb-orange-beach,(251) 929-8330,5,ChIJ04UGstwFmogRhGeIg7p_9bo
"Surf Style 202: Surf, Swimwear, Sporting Goods in Orange Beach","25033 Perdido Beach Blvd, Orange Beach, AL 36561, USA",ATTRACTIONS,https://surfstyle.com/pages/surf-style-store-202?utm_source=google&utm_medium=organic&utm_campaign=gbl,(954) 924-9779,3.9,ChIJF74tFPMGmogRVrD0IX478Ao
Alabama Extreme Watersports,"5749 Bay La Launch Ave, Orange Beach, AL 36561, USA",ATTRACTIONS,https://www.aewatersports.com/,(855) 524-8837,4.7,ChIJ-fYGGA6okIgRb6TPpd-OMuo
Heritage Motor Coach Resort & Marina,"28888 Canal Rd, Orange Beach, AL 36561, USA",ATTRACTIONS,http://www.heritageorangebeach.com/,(251) 923-3400,4.6,ChIJ37uh6xiokIgRcFelszSnffE
Terry Cove Motor Coach Resort,"4650 Griffith Marina Rd, Orange Beach, AL 36561, USA",ATTRACTIONS,http://www.terrycoverv.com/,(251) 210-9225,4.9,ChIJ8yyUAbwHmogR35WOyGIsiSI
Adventure Island,"24559 Perdido Beach Blvd, Orange Beach, AL 36561, USA",ATTRACTIONS,http://adventure-island.com/,(251) 974-1500,4.5,ChIJC5cg-Y4GmogRfmvedNEA2zY
Orange Beach History Museum,"25805 John Snook Dr, Orange Beach, AL 36561, USA",ATTRACTIONS,https://www.orangebeachal.gov/246/History-Museum,(251) 981-8545,4.7,ChIJnwv-S1IGmogR1SY2wAMIwy4
Sea View Tours,"28101 Perdido Beach Blvd B1, Orange Beach, AL 36561, USA",ATTRACTIONS,http://seaviewtoursal.com/,(251) 385-1710,4.5,ChIJO0qZ6NIHmogREmltK_OB1GA
Wall Decor Frame Shop,"24823 Canal Rd, Orange Beach, AL 36561, USA",ATTRACTIONS,https://www.facebook.com/WallDecorFraming/,(251) 974-1695,0,ChIJaVlUGkQGmogRqkSgemo-edk
Peppermint Shrimp,"27405 Polaris St, Orange Beach, AL 36561, USA",ATTRACTIONS,,(251) 923-6058,0,ChIJdzEMnp8HmogRgdZk0pol9r0
Coastal Arts Center of Orange Beach,"26389 Canal Rd, Orange Beach, AL 36561, USA",ATTRACTIONS,https://www.orangebeachal.gov/ArtCenter,(251) 981-2787,4.9,ChIJGTOo9rMHmogRMjwSVRAcyhk
Pink Pelican Art Gallery,"24823 Canal Rd, Orange Beach, AL 36561, USA",ATTRACTIONS,,(251) 219-0050,5,ChIJA4W0a-oHmogReryvzKBRCW0
Campground,"Orange Beach, AL 36561, USA",ATTRACTIONS,,,5,ChIJa4cqi0gEmogRq6VPKaSGfGI
Gulf State Park Campground,"Live Oak Dr, Orange Beach, AL 36561, USA",ATTRACTIONS,https://www.alapark.com/parks/gulf-state-park/rv-and-primitive-campground,(251) 948-7275 ext. 1,4.9,ChIJq-fP8pMFmogRHU1JzAwtcjs
Portside on Main,"4605 Main St, Orange Beach, AL 36561, USA",SHOPPING,https://alwharf.com/portside,,0,ChIJt7TuCgAFmogRqUXAy-S7aBg
Paradise Boutiques,"24821 Commercial Ave Unit 1, Orange Beach, AL 36561, USA",SHOPPING,,(251) 484-0943,5,ChIJ9RniMSsHmogRkJ78QYoSaus
Palm Point Shopping Plaza,"Unnamed Road, Orange Beach, AL 36561, USA",SHOPPING,,,4.4,ChIJxRxYF2YHmogR660CRWq0GJ8
The Commons,"25910 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,,,4.3,ChIJH7WUa0wGmogRcGRSFTaKHiY
Bear Point Plaza,"26835 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,,,4,ChIJYd4ZvrkHmogRpBXKeNnBWQE
Orange Beach Marine Clean,"24825 Commercial Ave Unit #2, Orange Beach, AL 36561, USA",SHOPPING,,(251) 968-6262,4.7,ChIJmwiBIo0HmogR6mv5P8qdbw0
Luna Beach Interiors,"24701 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,http://www.lunabeachinteriors.com/,(251) 960-5862,4.9,ChIJLSJ5ckwGmogRHFohA4IjiiA
Wildflowers Boutique,"25910 Canal Rd Suite M, Orange Beach, AL 36561, USA",SHOPPING,http://www.wildflowersboutiqueob.com/,(251) 981-9453,5,ChIJmSIjmU4GmogRZGP_vtWECvw
Seaside Shoes & SWIM,"4751 Main St Suite F111, Orange Beach, AL 36561, USA",SHOPPING,http://seasideshoesandswim.com/,(251) 224-6722,4.2,ChIJw7XRVtsFmogRfOO_7qsC_pE
Shades Sunglasses and Casual Apparel,"25741 Perdido Beach Blvd E, Orange Beach, AL 36561, USA",SHOPPING,http://shadessunglasses.com/,(251) 923-0577,4.2,ChIJvfOnUvcGmogRd3mdngEdD10
Murphy USA,"25241 Perdido Beach Blvd, Orange Beach, AL 36561, USA",SHOPPING,http://www.murphyusa.com/,(251) 981-2780,3,ChIJlWY0UPEGmogRbsIoPnyPXU0
Circle K,"4574 Orange Beach Blvd, Orange Beach, AL 36561, USA",SHOPPING,https://www.circlek.com/store-locator/US/orange-beach/4574-orange-beach-blvd/2721582?utm_source=google&utm_medium=local&utm_campaign=google-local,(251) 981-1433,3.6,ChIJkT8NkEwGmogRsn6iCrCLjWU
Sam's Bait and Tackle,"27122 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,,(251) 981-4245,4.1,ChIJ7w3k-r4HmogRuAkhpdxsDpY
MINT Decor and Design,"12 Market St, Orange Beach, AL 36561, USA",SHOPPING,http://mintdecorhome.com/,(251) 256-0358,4.4,ChIJUVCBWSQEmogRAES7zI2Vvgs
CoCo Island Home Furnishings,"24499 Commercial Ave, Orange Beach, AL 36561, USA",SHOPPING,https://cocoislandfurniture.net/,(251) 968-3396,4.2,ChIJ5-zeW24GmogRW60EScIr9CU
Cabinet King,"25594 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,http://cabinetking.biz/,(251) 233-5178,5,ChIJ9es3tdwFmogRJ7XNZMNxPrs
Sand Dollar Lifestyles,"4700B Main St Suite 108, Orange Beach, AL 36561, USA",SHOPPING,http://pardyhardy.com/,(251) 224-1660,4.2,ChIJP1KhQ9sFmogRV2lSB2Jt1_s
Blue Lagoon LLC,"27267 Perdido Beach Blvd B 106, Orange Beach, AL 36561, USA",SHOPPING,https://www.facebook.com/blue.orangebeach/,(251) 980-2583,4.7,ChIJR1bZlp8HmogRUEmhNyLwIu4
Ocean Eddie's Resort Wear,"4651 Main St k104, Orange Beach, AL 36561, USA",SHOPPING,https://www.facebook.com/OceanEddies-ResortWear-157113254407949/,(251) 981-6113,5,ChIJR1bZlp8HmogRNiFe0K6yFIM
Treasure Chest,"27267 Perdido Beach Blvd # 111, Orange Beach, AL 36561, USA",SHOPPING,,(251) 948-4459,4.5,ChIJiVbZlp8HmogRu9eofNvB_xI
Salt Mercantile,"25122 Perdido Beach Blvd, Orange Beach, AL 36561, USA",SHOPPING,http://www.shopsaltnow.com/,(251) 981-7258,4.6,ChIJ53rxq_MGmogRQhHhrYHlNgo
Frank & Co. Fine Jewelry,"25814 Canal Rd #7, Orange Beach, AL 36561, USA",SHOPPING,http://frankcooba.co/,(251) 970-2060,4.9,ChIJjQvxDmkGmogRdMGHBZ5KpMU
Real Estate Book The/Al Gulf,"10 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,,(251) 986-5127,0,ChIJXTgAEk8GmogR5ABQR1z-bnc
Andy Andrews | Wisdom Harbour Studios,"4751 Main St F213, Orange Beach, AL 36561, USA",SHOPPING,http://andyandrews.com/,(251) 981-5005,5,ChIJVS31ljEFmogRsQP5_THUoKA
Computer Backup Inc,"24695 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,http://www.computerbackupinc.com/,(251) 968-7322,4.8,ChIJLQfKr2kGmogRtiUPHO58yVg
CVS Photo,"25761 Perdido Beach Blvd, Orange Beach, AL 36561, USA",SHOPPING,https://www.cvs.com/store-locator/orange-beach-al-pharmacies/25761-perdido-beach-blvd-orange-beach-al-36561/storeid=2899?WT.mc_id=LS_GOOGLE_PHOTO_PT2899,(251) 974-1590,5,ChIJI0Wc9_kGmogRixbUiSqggN0
O'Reilly Auto Parts,"24830 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,https://locations.oreillyauto.com/en-us/al/orangebeach/autoparts-5491.html,(251) 200-4410,4.6,ChIJrzcAlGIHmogRachr9XF5SPA
Walgreens Photo,"25801 Perdido Beach Blvd Walgreens, Orange Beach, AL 36561, USA",SHOPPING,https://www.walgreens.com/locator/walgreens-25801+perdido+beach+blvd-orange+beach-al-36561/id=17739,(251) 981-7019,3.3,ChIJP60-DI8HmogR-VzXTO8SMo8
Dollar General,"4225 Orange Beach Blvd, Orange Beach, AL 36561, USA",SHOPPING,https://www.dollargeneral.com/store-directory/al/orange-beach/5707,(251) 214-0018,4.3,ChIJlWY0UPEGmogR1skAnZ50ljA
Dollar General,"24881 Perdido Beach Blvd, Orange Beach, AL 36561, USA",SHOPPING,https://www.dollargeneral.com/store-directory/al/orange-beach/16294,(251) 288-5705,4.3,ChIJEYY8II0GmogRCZmB4GkdlH0
DG Market,"25130 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,https://www.dollargeneral.com/store-directory/al/orange-beach/14166,(251) 314-0260,4.3,ChIJx7kgZ5QHmogRGTfYKGEJL7I
Paris Ace Orange Beach,"25907 Canal Rd, Orange Beach, AL 36561, USA",SHOPPING,http://www.acehardware.com/store-details/16340?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=16340,(251) 981-0954,4.7,ChIJA38YC0wGmogR9NkvvZdAt0I
Jane Loves Shoes,"27267 Perdido Beach Blvd c107, Orange Beach, AL 36561, USA",SHOPPING,https://janelovesshoes.com/,(251) 980-5263,4.4,ChIJs74gP6AHmogRHpo-h7VeBcg
Gulf Coast Veterinary Hospital,"24001 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,https://www.gulfcoastveterinaryhospitalorangebeachal.com/,(251) 974-5633,4.6,ChIJ_UDz0XEGmogRpwkBRdKl-wI
Canal Road Animal Hospital,"22640 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,https://www.canalroadanimalhospital.com/,(251) 968-7387,4.3,ChIJ1QI19rcFmogRVsZ0AChMtj0
United States Postal Service,"25778 John Snook Dr, Orange Beach, AL 36561, USA",SERVICES,https://tools.usps.com/locations/details/1376205?utm_source=google-my-business-url&utm_medium=search&utm_campaign=yext,(800) 275-8777,3.3,ChIJkawNTFIGmogRe8NjvV9gSSw
Orange Beach Toys,"4 Market St, Orange Beach, AL 36561, USA",SERVICES,http://orangebeachtoys.com/,(850) 889-8697,5,ChIJoZsQHBGvkIgRE6_ngK4mdb8
Gulf Coast Rental Co,"25150 Canal Rd Suite B, Orange Beach, AL 36561, USA",SERVICES,http://www.gulfcoastrentalco.com/,(251) 510-7226,4.9,ChIJL1Im28sHmogRJ8bxF_FbbLg
Bear Point Harbor Fueling Station,"5749 Bay La Launch Ave, Orange Beach, AL 36561, USA",SERVICES,http://bearpointharbor.com/,(251) 981-2327,5,ChIJ5RFSNw6okIgR3lJGS2-OgZk
All Baldwin Cleaners,"3099 Loop Rd, Orange Beach, AL 36561, USA",SERVICES,,(251) 981-3512,3.9,ChIJVbBnsvYGmogR2ASOTVdWFIM
Advanced Carpet Cleaning & Restoration,"24252 Canal Rd STE A, Orange Beach, AL 36561, USA",SERVICES,http://callonthepros.com/,(251) 955-1234,4.9,ChIJyflwTHAGmogREo9L-tl-cGY
Beach Laundry,"25299 Canal Rd STE A1, Orange Beach, AL 36561, USA",SERVICES,http://www.beachlaundry.net/,(251) 423-7959,4.3,ChIJaVlUGkQGmogRFE9EHHL-uXc
Gulf Breeze Resort Services,"24705 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,,(251) 974-1031,0,ChIJLQfKr2kGmogRhAmrV0yraRE
"Emerald Coast Carpet Cleaning & Restoration, LLC","25299 Canal Rd b9, Orange Beach, AL 36561, USA",SERVICES,http://www.emeraldcoastcarpetcleaners.com/,(251) 948-2161,5,ChIJNWV0dEQGmogRV2Dh2MvrtdE
DRI Gulf Coast,"26255 St Lucia Dr, Orange Beach, AL 36561, USA",SERVICES,https://www.drigulfcoast.com/,(251) 447-9285,5,ChIJa_KX3RAHmogRliz2m1mhmJI
Publix Pharmacy at The Shoppes at Palm Pointe,"25771 Perdido Beach Blvd, Orange Beach, AL 36561, USA",SERVICES,https://www.publix.com/pharmacy?utm_medium=maps&utm_source=google&utm_content=psmpharm_google_override,(251) 980-1445,4.4,ChIJM7MIXvkGmogR2Ay1mNAn7Ns
Symbol Health Solutions,"7293 Roscoe Rd, Orange Beach, AL 36561, USA",SERVICES,http://symbolhealth.com/,(844) 779-6265,5,ChIJV5FgRV0PmogRDRVLfcLXvd0
Orange Beach Auto & Marine,"25472 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,http://www.orangebeachautomarine.com/,(251) 981-6823,4.8,ChIJS0Ps80wGmogRFNDC3CZClis
Service Marine,"25150 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,,(251) 509-4878,5,ChIJs04egfkGmogRTRplan7FgDw
Coastal Energy Window Coatings,"25150 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,,(251) 744-8468,0,ChIJB9_4DkMGmogRF-rAIxV0fUc
Infinity Bicycles,"4575 Orange Beach Blvd, Orange Beach, AL 36561, USA",SERVICES,https://www.infinity-bicycles.com/?y_source=1_MTU0OTc0NjMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(251) 974-1727,4.9,ChIJIZcyY0wGmogR15WZ885_FA0
Coastal Carts,"25187 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,https://coastalcartsalabama.com/,(251) 500-4557,4.8,ChIJYa5Tk4UPmogR6NL_TqAYbVw
E Bike of Orange Beach,"25405 Perdido Beach Blvd STE 21, Orange Beach, AL 36561, USA",SERVICES,http://ebikeoforangebeach.com/,(251) 413-0714,4.9,ChIJOcKaRJAHmogR3Lvve8KwffI
Cartiology Golf Cart Sales,"25856 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,http://www.cartiologysales.com/,(251) 270-5138,4.7,ChIJtcbcNR4HmogRiQhSc3kcwiQ
Walmart Pharmacy,"25241 Perdido Beach Blvd STE W, Orange Beach, AL 36561, USA",SERVICES,https://www.walmart.com/store/5653-orange-beach-al/pharmacy/?veh=seo_loc,(251) 974-1824,4.2,ChIJpY2I-_MGmogRWbD62tXAAQc
CVS Pharmacy,"25761 Perdido Beach Blvd, Orange Beach, AL 36561, USA",SERVICES,https://www.cvs.com/store-locator/orange-beach-al-pharmacies/25761-perdido-beach-blvd-orange-beach-al-36561/storeid=2899?WT.mc_id=LS_GOOGLE_RX_2899,(251) 974-1590,4.8,ChIJI0Wc9_kGmogR0tfbfAHkn7s
"C L. Epp, Bspharm","25299 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,,(251) 981-4376,0,ChIJaVlUGkQGmogRYgDAnwMsnyY
Walgreens Pharmacy,"25801 Perdido Beach Blvd Walgreens, Orange Beach, AL 36561, USA",SERVICES,https://www.walgreens.com/locator/walgreens-25801+perdido+beach+blvd-orange+beach-al-36561/id=17739,(251) 981-7019,3.1,ChIJz89jN_QHmogRgXbC-ltTVH0
COVID-19 Drive-Thru Testing at Walgreens,"25801 Perdido Beach Blvd Walgreens, Orange Beach, AL 36561, USA",SERVICES,https://www.walgreens.com/findcare/covid19/testing,(251) 981-7019,0,ChIJVVWlafkGmogRer9d6SvJ59E
Centennial Bank,"25051 Canal Rd, Orange Beach, AL 36561, USA",SERVICES,https://www.my100bank.com/location/25051-canal-rd?utm_source=extnet&utm_medium=yext,(251) 981-5900,4.3,ChIJ79uzRUIGmogR57UkBkvI7U0
Bryant Bank,"24847 Commercial Ave, Orange Beach, AL 36561, USA",SERVICES,http://bryantbank.com/,(251) 981-2800,5,ChIJd4jBdkIGmogRo6kagjOeqWQ
