name,address,category,website,facebook,instagram,phone,rating
Nonna's Pizzeria (Foley),"112 S McKenzie St, Foley AL 36535",restaurants,https://nonnaspizzafoley.com,,,(251) 943-8811,4.5
Original Oyster House (Gulf Shores),"701 Gulf Shores Pkwy, Gulf Shores, AL 36542",restaurants,https://originaloysterhouse.com,,,(251) 948-2445,4.5
Papa Rocco's (Gulf Shores),"101 W 6th Ave, Gulf Shores, AL 36542",restaurants,https://paparocco.com,,,(251) 948-7262,4.5
PapaRoccos GulfShores vertical,,restaurants,,,,,
Perch at Gulf State Park (The Lodge),"21196 E Beach Blvd, Gulf Shores, AL 36542",restaurants,https://perchgsp.com,,,(251) 540-6100,4.5
Picnic Beach (Gulf Shores),"128 E 1st Ave, Gulf Shores AL 36542",restaurants,https://picnicbeachgs.com,,,(251) 540-0117,4.5
Pink Pony Pub,"137 E Gulf Pl, Gulf Shores, AL 36542",restaurants,https://pinkponypub.net,https://www.facebook.com/pinkponypub,https://www.instagram.com/pinkponypub,(251) 948-6371,4.4
The Point Restaurant & Bar (Perdido Key),"14340 Innerarity Point Rd, Perdido Key FL 32507",restaurants,https://thepointperdido.com,,,(850) 492-3577,4.5
Portabella's Restaurant (Foley),"321 S McKenzie St, Foley AL 36535",restaurants,https://portabellasrestaurant.net,,,(251) 943-7773,4.5
Public Beach Parking Lot #1,"300 W Beach Blvd, Gulf Shores, AL 36542",parking,https://www.gulfshoresal.gov,,,(251) 968-1171,
Sassy Bass Cookout Tiki Bar,"375 Plantation Rd, Gulf Shores, AL 36542",restaurants,,,,(251) 923-0020,4.5
SassyBassAmazinGrill GulfShores,,restaurants,,,,,
SassyBassIslandGrill GulfShores,,restaurants,,,,,
SassyBassPizza GulfShores verti,,restaurants,,,,,
Scoops Olde Fashion Ice Cream Parlor,"601 Gulf Shores Pkwy, Gulf Shores AL 36542",restaurants,,,,(251) 948-4800,4.5
Sea N Suds,"405 E Beach Blvd, Gulf Shores, AL 36542",restaurants,https://sea-n-suds.com,,,(251) 948-7894,
ShippsDockside Full Data 5Sheet,,restaurants,,,,,
Southern Shores Coffee (Gulf Shores),"17287 Hwy 59, Gulf Shores AL 36542",restaurants,https://southernshorescoffee.com,,,(251) 923-0049,4.5
The Steamer & Baked Oyster Bar (Gulf Shores),"Behind Souvenir City, W 1st Ave, Gulf Shores, AL",restaurants,https://gulfcoaststeamer.com,,,(251) 948-4042,4.5
Sunliner Diner (Gulf Shores),"100 E 2nd Ave, Gulf Shores AL 36542",restaurants,https://sunlinerdiner.com,,,(251) 937-6600,4.5
Tacky Jack's – Gulf Shores,"240 E 24th Ave, Gulf Shores, AL 36542",restaurants,https://tackyjacks.com,,,(251) 948-8881,4.5
The Hangout,"101 E Beach Blvd, Gulf Shores, AL 36542",restaurants,https://www.thehangoutal.com,https://www.facebook.com/TheHangoutAL,https://www.instagram.com/thehangoutal,(251) 948-3030,4.5
The Point Restaurant,"14340 Innerarity Point Road, Perdido Key, FL 32507",restaurants,https://thepointperdido.com,,,(850) 492-3577,4.5
Tin Top Restaurant & Oyster Bar (Bon Secour),"17451 County Rd 49 S, Bon Secour, AL 36511",restaurants,https://tintoprestaurant.com,,,(251) 949-5086,4.5
The Ugly Diner (Gulf Shores),"2200 E 2nd St Ste F, Gulf Shores, AL 36542",restaurants,,,,(251) 948-0034,4.5
Wolf Bay Restaurant – Foley,"20801 Miflin Rd, Foley, AL 36535",restaurants,https://wolfbaylodge.com,,,(251) 965-5129,4.5
WolfBay Foley vertical clean,,restaurants,,,,,
WolfBay OrangeBeach vertical cl,,restaurants,,,,,
Woodside Restaurant (Gulf State Park),"20249 State Park Rd, Gulf Shores AL 36542",restaurants,https://woodsideatgsp.com,,,(251) 923-3100,4.5
