name,address,category,website,phone,rating
Crumbl,"405 E Beach Blvd, Gulf Shores, AL 36542, USA",restaurant,http://www.sea-n-suds.com/,(251) 948-7894,4.3
"Dolphin Cove Marina Gulf Shores, AL","4159 Co Rd 6, Gulf Shores, AL 36542, USA",water-sports-rental,https://www.dolphin-cove-marina.com/,(251) 223-4055,5
Down Under Dive Shop,"1129 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",water-sports-rental,http://www.downunderdiveshop.com/,(251) 968-3483,4.5
Duck’s Diner,"408 W Beach Blvd, Gulf Shores, AL 36542, USA",restaurant,https://hightidedaiquiris.com/,(251) 324-6205,4.5
E-Bikes & Boards,"1129 Gulf Shores Pkwy Suite C, Gulf Shores, AL 36542, USA",water-sports-rental,http://www.e-bikesandboards.com/,(251) 505-2925,4.9
EBIKE THE PARK,"117 E 14th Ave, Gulf Shores, AL 36542, USA",beach-rentals,http://www.ebikethepark.com/,(251) 460-1088,5
Excel Beach Service | Gulf Shores,"925 Beach Club Trail, Gulf Shores, AL 36542, USA",beach-rentals,https://www.excelbeachservice.com/gulf-shores,(850) 353-3276,4.9
Foam Coffee,"101 E Beach Blvd, Gulf Shores, AL 36542, USA",restaurant,https://www.thehangout.com/hangout-gulf-shores/,(251) 948-3030,4.6
Fort Morgan Beach Rentals,"10613 AL-180, Gulf Shores, AL 36542, USA",beach-rentals,http://ftmorganbeachrentals.com/,(251) 597-7752,4.9
Freebird charters,"16396 The Loop, Gulf Shores, AL 36542, USA",water-activities,http://freebirdcharterfishing.com/,(251) 979-4696,4.9
Gelato Scoop - Gulf Shores,"3800 Gulf Shores Pkwy #100, Gulf Shores, AL 36542, USA",restaurant,http://www.kittyskafe.com/,(251) 948-5233,4.6
Gulf Coast Boat Rentals,"E Canal Dr, Gulf Shores, AL 36542, USA",water-sports-rental,https://www.gulfcoastboatrentals.com/,(251) 496-3120,5
Gulf Shores Beach Rentals,"3873 AL-59, Gulf Shores, AL 36542, USA",beach-rentals,http://www.gulfshoresalbeachrentals.com/,(251) 609-4577,4.7
Gulf Shores Beach Supply,"1549 Gulf Shores Pkwy Suite 1100, Gulf Shores, AL 36542, USA",shopping,http://gulfshoresbeachsupply.com/,(251) 923-5588,4.5
Gulf Shores Beach Trading Company,"101 W Beach Blvd, Gulf Shores, AL 36542, USA",shopping,,,3.4
Gulf Shores Bike Rentals,"824 Gulf Shores Pkwy C2, Gulf Shores, AL 36542, USA",water-sports-rental,http://gulfshoresbikerentals.com/,(251) 210-9037,5
Gulf Shores City Store,"1821 AL-59, Gulf Shores, AL 36542, USA",shopping,https://www.gulfshoresgear.com/,(251) 968-2504,4.1
Gulf Shores Kayak Rentals,"20249 State Park Rd, Gulf Shores, AL 36542, USA",restaurant,http://woodsideatgsp.com/,(251) 923-3100,4.4
Gulf Shores Soda Fountain,"160 Cotton Creek Dr ste 250, Gulf Shores, AL 36542, USA",restaurant,https://misoseafood.com/?utm_source=google,(251) 256-0051,4.6
Gulf Shores Souvenirs & Gifts,"301 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",shopping,,(251) 948-3146,3.4
Gulf State Park Pavillion,"22250 E Beach Blvd, Gulf Shores, AL 36542, USA",water-activities,https://www.alapark.com/parks/gulf-state-park/beach-pavilion,(251) 948-7275 ext. 92099,4.8
GulfKayakRentals,"448 W 23rd Ave, Gulf Shores, AL 36542, USA",water-sports-rental,,(251) 381-0061,
Happy Pappys Coffeehouse,"205 E 2nd Ave, Gulf Shores, AL 36542, USA",restaurant,http://mikeesseafood.com/,(251) 948-6452,4.1
Hibas Gulf Shores Karaoke & Arcade Bar,"3800 Gulf Shores Pkwy Suite 210, Gulf Shores, AL 36542, USA",entertainment,https://hibasgulfshores.com/,(251) 279-0414,4.7
High Tide Daiquiris & Mimosas,"131 Cove Ave, Gulf Shores, AL 36542, USA",restaurant,http://covebargrill.com/,(251) 968-5353,4.6
High Wave 59,"1835 W Beach Blvd, Gulf Shores, AL 36542, USA",water-sports-rental,https://www.highwave59.com/,(251) 600-9660,5
Hope's Cheesecake,"128 E 1st Ave, Gulf Shores, AL 36542, USA",restaurant,https://www.picnicbeach.com/,(251) 540-0117,4.8
Ike's Beach Service,"800 W Beach Blvd, Gulf Shores, AL 36542, USA",water-sports-rental,https://www.ikesbeachservice.com/,(251) 948-3757,4.8
Ike's Parasail,"2200 E 2nd St, Gulf Shores, AL 36542, USA",restaurant,https://www.facebook.com/TheDinerAL/,(251) 224-3182,4.5
Island Life kayak and paddle board rentals,"108 Waterway W Blvd, Gulf Shores, AL 36542, USA",water-sports-rental,,(251) 978-3321,4.7
Island Marine Charters,"Buskens Ln, Gulf Shores, AL 36542, USA",water-activities,http://www.islandmarinecharters.com/,(251) 228-2344,5
Island Time Charters,"1577 AL-180, Gulf Shores, AL 36542, USA",water-activities,https://myislandtimecharters.com/,(251) 981-4796,5
Jurassic Golf,"3800 Gulf Shores Pkwy #142, Gulf Shores, AL 36542, USA",entertainment,http://www.jurassicgolfgs.com/,(251) 948-0227,4.4
Kitty's Kafe,"244 E Beach Blvd, Gulf Shores, AL 36542, USA",restaurant,http://www.gulfislandgrill.co/,(251) 968-4440,4.2
Latitude Adjustment Beach Rentals,"421 E Beach Blvd, Gulf Shores, AL 36542, USA",beach-rentals,https://latitudeadjustmentgulfshores.com/,(865) 680-6126,5
Lauria's by the Beach,"1550 AL-59, Gulf Shores, AL 36542, USA",restaurant,http://efesgreekkitchen.com/,(256) 342-1000,4.5
Legendary Marina & Yacht Club Gulf Shores Alabama,"335 Waterway W Blvd, Gulf Shores, AL 36542, USA",water-sports-rental,https://www.legendarymarinagulfshores.com/,(251) 468-2377,5
Lickin Good Donuts & Kolaches -Gulf Shores,"8818 AL-180 Ste C, Gulf Shores, AL 36542, USA",restaurant,https://www.sassybass.com/,(251) 948-3052,4.8
Matt's Homemade Ice Cream,"911 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",restaurant,https://www.hogwildgs.com/,(251) 540-9453,4.5
Mini Golf Arcade,"Gulf Shores, AL 36542, USA",entertainment,,,3.5
Mrs Field’s Cookies,"601 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",restaurant,https://www.mrsfields.com/store/gulf-shores,(251) 948-4800,4.6
Mudbugs Dive Bar,"624 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",entertainment,https://www.facebook.com/MudBugs-Pub-113373175361869/,(251) 948-8081,3.9
Mythic Beach Banana Bar,"21196 E Beach Blvd, Gulf Shores, AL 36542, USA",restaurant,https://perchgsp.com/?SEO_id=GMB--R-PNSLGHH-2&y_source=1_MjY1ODk0MTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(251) 540-6100,4.2
Nelson Inshore Fishing Charters,"16800 Nelson Ln, Gulf Shores, AL 36542, USA",water-activities,http://www.nelsoncharterfishing.com/,(251) 589-7931,4.9
Off The Hook Charters,"1577 AL-180, Gulf Shores, AL 36542, USA",water-activities,https://offthehookfishingcharters.org/,(251) 223-6736,4.9
Paradise Pedal LLC,"E 1st Ave, Gulf Shores, AL 36542, USA",beach-rentals,https://www.paradispedalllc.com/,(251) 483-3757,5
Parlor Doughnuts,"3800 Gulf Shores Pkwy #240, Gulf Shores, AL 36542, USA",restaurant,http://www.bleusburger.com/,(251) 219-8448,4.9
Pier 33,"101 W 6th Ave, Gulf Shores, AL 36542, USA",restaurant,http://www.paparocco.com/,(251) 948-7262,4.2
Pirate's Island Adventure Golf,"3201 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",entertainment,https://www.piratesislandgolf.com/our-locations/gulf-shores-al-pirates-island/,(251) 968-4653,4.7
Publix Super Market at Colonial Promenade at Craft Farms,"100 E 2nd Ave, Gulf Shores, AL 36542, USA",restaurant,https://www.sunlinerdiner.com/,(251) 937-6590,4.8
Pure Aloha Adventures,"22922 Alabama's Coastal Connection, Gulf Shores, AL 36542, USA",water-sports-rental,https://purealohaadventures.com/alabama/,(251) 391-4832,5
Purple Octopus,"701 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",restaurant,https://www.originaloysterhouse.com/,(251) 948-2445,4.4
Red Sky Fish Co.,"8491 AL-180, Gulf Shores, AL 36542, USA",water-activities,http://www.redskyfishing.com/,(251) 404-3144,5
Roasted Oak,"300 E 24th Ave, Gulf Shores, AL 36542, USA",restaurant,http://bigbeachbrewing.com/,(251) 948-2337,4.8
Sarah's Home Made,"124 W 1st Ave, Gulf Shores, AL 36542, USA",restaurant,https://gulfcoaststeamer.com/,(251) 948-4042,3.9
Scales N Tails Charters,"335 Waterway W Blvd Unit G1, Gulf Shores, AL 36542, USA",water-activities,https://scalesntailscharters.com/,(251) 600-4495,5
Scoops Ice Cream,"3947 AL-59 #100, Gulf Shores, AL 36542, USA",restaurant,http://www.islandwing.com/,(251) 970-1337,4.3
Selah,"309 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",restaurant,https://www.cricospizza.com/,(251) 948-3100,4.6
Shop LuLu Buffett,"202 E 25th Ave, Gulf Shores, AL 36542, USA",shopping,http://shop.lulusfunfoodmusic.com/,(251) 967-1133,4.1
Shrimpy's Grill and Golf,"204 E 2nd Ave, Gulf Shores, AL 36542, USA",entertainment,https://www.shrimpysminigolf.com/,(251) 948-6464,4.3
Southern Shores Coffee,"3800 Gulf Shores Pkwy # 370, Gulf Shores, AL 36542, USA",restaurant,https://agavebargrillal.com/,(251) 948-0550,4.6
Souvenir City,"1209 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",restaurant,http://nonnaspizzagulfshores.com/,(251) 223-4270,4.3
Stressed Out Charters,"1577 AL-180, Gulf Shores, AL 36542, USA",water-activities,http://stressedoutcharters.com/,(334) 315-3686,5
"Suncoast Beach Service, Inc.","932 Commerce Loop, Gulf Shores, AL 36542, USA",beach-rentals,http://www.suncoastbeachservice.com/,(251) 968-2466,4.6
Sunliner Diner,"1545 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",restaurant,http://www.fishrivergrill.com/,(251) 948-1110,4.8
"Surf Style 207: Surf, Swimwear, Sporting Goods in Gulf Shores","102 E Beach Blvd, Gulf Shores, AL 36542, USA",shopping,https://surfstyle.com/pages/surf-style-store-207?utm_source=google&utm_medium=organic&utm_campaign=gbl,(954) 924-9779,3.8
Tambos Surf & Skate Shop,"3800 Gulf Shores Pkwy #130, Gulf Shores, AL 36542, USA",water-sports-rental,,(251) 948-7873,4.8
The Factory Gulf Shores,"18948 Oak Rd W, Gulf Shores, AL 36542, USA",entertainment,http://thefactorygulfshores.com/,(251) 202-0900,4.5
The Royal Standard,"3769 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",shopping,https://www.theroyalstandard.com/?utm_source=google&utm_medium=organic&utm_campaign=gulf_shores,(251) 243-7074,4.7
The Salty Palm,"3041 W 1st St, Gulf Shores, AL 36542, USA",shopping,https://thesaltypalm.com/,(251) 229-9890,4.9
The Track - Gulf Shores,"3200 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",entertainment,https://www.funatthetrack.com/,(251) 270-0209,4.4
The Yard Milkshake Bar,"984 W Beach Blvd, Gulf Shores, AL 36542, USA",restaurant,https://janinospizzagulfshores.com/,(251) 500-1506,4
Tiki Island Boutique,"517 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",shopping,http://www.tikiislandboutique.com/,(717) 201-8716,3.8
Trick’em Charters,"1577 AL-180, Gulf Shores, AL 36542, USA",water-activities,http://www.fishfortmorgan.com/,(334) 750-4629,4.7
Village Mercantile,"925B Beach Club Trail, Gulf Shores, AL 36542, USA",shopping,https://thebeachclub.spectrumresorts.com/the-amenities/shopping/?utm_source=google&utm_medium=places&utm_campaign=google_places,(251) 224-3660,4.1
Waterville USA/Escape House,"906 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",entertainment,https://watervilleusa.com/,(251) 948-2106,4.3
West Beach Coffee House,"3849 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",restaurant,http://mycactuscantina.com/,(251) 943-8115,4.4
Woodside Restaurant,"120 E Fort Morgan Rd, Gulf Shores, AL 36542, USA",restaurant,https://www.hazelsnook.com/,(251) 923-3100,4.3
Yumm Twister & Ice Cream,"200 E 25th Ave, Gulf Shores, AL 36542, USA",restaurant,http://lulusfunfoodmusic.com/,(251) 967-5858,4.3
Zooland Mini Golf,"1204 Gulf Shores Pkwy, Gulf Shores, AL 36542, USA",entertainment,https://www.zoolandminigolf.com/,,3.9
