name,city,address,website,facebook,instagram,phone,rating
Gulf Island Grill,Gulf Shores,"244 E Beach Blvd, Gulf Shores, AL 36542",https://gulfislandgrill.co,,,(251) 968-4440,4.5
Gulf Shores Steamer,Orange Beach,"27267 Perdido Beach Blvd #115, Orange Beach, AL 36561",https://gulfshoressteamer.com,,,(251) 948-6344,4.5
Hazel's Nook (Gulf Shores),Gulf Shores,"120 E Fort Morgan Rd, Gulf Shores AL 36542",https://hazelsnook.com,,,(251) 968-7065,4.5
Hog Wild Beach & BBQ (Gulf Shores),Gulf Shores,"911 Gulf Shores Pkwy, Gulf Shores AL 36542",https://hogwildbeachandbbq.com,,,(251) 600-9453,4.5
Island Time Daiquiris (The Wharf),Orange Beach,"4830 Wharf Pkwy G101A, Orange Beach AL 36561",,,,(251) 224-0265,4.5
Island Wing Company (Gulf Shores),Gulf Shores,"3800 Gulf Shores Pkwy #100, Gulf Shores AL 36542",https://islandwing.com,,,(251) 948-2625,4.5
Janino's Pizza (Gulf Shores),Gulf Shores,"100 W 6th Ave, Gulf Shores AL 36542",https://janinospizza.com,,,(251) 968-3267,4.5
Jesse's on the Bay,Gulf Shores,"1631 Crosswinds Ct, Bon Secour, AL 36511",https://jessesrestaurant.com,,,(251) 965-3827,4.5
The Keg Lounge & Grill (Orange Beach),Orange Beach,"26796 Canal Rd, Orange Beach, AL 36561",,,,(251) 981-9461,4.5
King Neptune's Seafood Restaurant,Gulf Shores,"1137 Gulf Shores Pkwy, Gulf Shores, AL 36542",https://kingneptunes.website,,,(251) 968-5464,4.5
Kitty's Kafé (Gulf Shores),Gulf Shores,"Pelican Place Shops, 3800 Gulf Shores Pkwy #100, Gulf Shores AL 36542",https://kittyskafe.com,,,(251) 948-5233,4.5
LuLu's Gulf Shores,Gulf Shores,"200 E 25th Ave, Gulf Shores, AL 36542",https://lulubuffett.com/,https://www.facebook.com/LuLusGulfShores,https://www.instagram.com/lulusgulfshores,(251) 967-5858,4.5
Lunas Eat and Drink Full Catego,Gulf Shores,,,,,,
Mamma Mia Pizzeria & Italian Grill,Orange Beach,"24895 Canal Rd, Orange Beach AL 36561",https://mammamiaorangebeach.com,,,(251) 974-0775,4.5
Mikee's Seafood,Orange Beach,"251 Gulf Shores Pkwy, Gulf Shores, AL 36542",https://mikeesseafood.com,,,(251) 948-6452,4.5
Mile Marker 158 Dockside (The Wharf),Orange Beach,"4673 Wharf Pkwy W, Orange Beach, AL 36561",https://milemarker158.com,,,(251) 224-6500,4.5
Mile Marker 158 Dockside,Orange Beach,"4673 Wharf Parkway W, Suite B, Orange Beach, AL 36561",https://milemarker158.com,,,(251) 224-6500 ext. 4,4.5
Miso Seafood & Sushi Bar (Gulf Shores),Gulf Shores,"3800 Gulf Shores Pkwy #230, Gulf Shores, AL 36542",https://misoseafoodandsushi.com,,,(251) 948-2228,4.5
Nonna's Pizzeria (Foley),Gulf Shores,"112 S McKenzie St, Foley AL 36535",https://nonnaspizzafoley.com,,,(251) 943-8811,4.5
Original Oyster House (Gulf Shores),Gulf Shores,"701 Gulf Shores Pkwy, Gulf Shores, AL 36542",https://originaloysterhouse.com,,,(251) 948-2445,4.5
OSO Bear Point Restaurant,Orange Beach,"5749 Bay La Launch Ave, Orange Beach, AL 36561",https://osobearpoint.com,,,(251) 345-6738,4.6
Papa Rocco's (Gulf Shores),Gulf Shores,"101 W 6th Ave, Gulf Shores, AL 36542",https://paparocco.com,,,(251) 948-7262,4.5
PapaRoccos GulfShores vertical,Gulf Shores,,,,,,
Papa's Pizza – Orange Beach,Orange Beach,"25405 Perdido Beach Blvd #22, Orange Beach AL 36561",https://papaspizzaorangebeach.com,,,(251) 981-6777,4.5
Pelican Grill,Orange Beach,"27267 Perdido Beach Blvd., Orange Beach, AL 36561",https://www.pelicangrillob.com,,,(251) 483-3665,4.5
Perch at Gulf State Park (The Lodge),Gulf Shores,"21196 E Beach Blvd, Gulf Shores, AL 36542",https://perchgsp.com,,,(251) 540-6100,4.5
Picnic Beach (Gulf Shores),Gulf Shores,"128 E 1st Ave, Gulf Shores AL 36542",https://picnicbeachgs.com,,,(251) 540-0117,4.5
Pink Pony Pub,Gulf Shores,"137 E Gulf Pl, Gulf Shores, AL 36542",https://pinkponypub.net,https://www.facebook.com/pinkponypub,https://www.instagram.com/pinkponypub,(251) 948-6371,4.4
The Point Restaurant & Bar (Perdido Key),Gulf Shores,"14340 Innerarity Point Rd, Perdido Key FL 32507",https://thepointperdido.com,,,(850) 492-3577,4.5
Portabella's Restaurant (Foley),Gulf Shores,"321 S McKenzie St, Foley AL 36535",https://portabellasrestaurant.net,,,(251) 943-7773,4.5
Roasted Oak Restaurant & Wine Bar,Orange Beach,"25775 Perdido Beach Blvd Ste A1, Orange Beach, AL 36561",https://roastedoakoba.com,,,(251) 980-8110,4.5
Rotolo's Pizzeria (Orange Beach),Orange Beach,"25755 Perdido Beach Blvd, Orange Beach AL 36561",https://rotolos.com,,,(251) 981-8891,4.5
Ruby Slipper Café (Orange Beach),Orange Beach,"24151 Perdido Beach Blvd, Orange Beach AL 36561",https://rubyslippercafe.net,,,(251) 923-4116,4.5
Sassy Bass Cookout Tiki Bar,Gulf Shores,"375 Plantation Rd, Gulf Shores, AL 36542",,,,(251) 923-0020,4.5
SassyBassAmazinGrill GulfShores,Gulf Shores,,,,,,
SassyBassIslandGrill GulfShores,Gulf Shores,,,,,,
SassyBassPizza GulfShores verti,Gulf Shores,,,,,,
Scoops Olde Fashion Ice Cream Parlor,Gulf Shores,"601 Gulf Shores Pkwy, Gulf Shores AL 36542",,,,(251) 948-4800,4.5
Sea N Suds,Gulf Shores,"405 E Beach Blvd, Gulf Shores, AL 36542",https://sea-n-suds.com,,,(251) 948-7894,
Shipp's Dockside Grill (Orange Beach Marina),Orange Beach,"27267 Perdido Beach Blvd (Orange Beach Marina), Orange Beach, AL 36561",https://shippsdockside.com,,,(251) 981-5516,4.5
ShippsDockside Full Data 5Sheet,Gulf Shores,,,,,,
The Southern Grind – Hotel Indigo Location,Orange Beach,"22843 Perdido Beach Blvd, Orange Beach AL 36561",,,,(251) 923-3265,4.5
The Southern Grind Coffee House – The Wharf,Orange Beach,"4751 Main St #116, Orange Beach AL 36561",https://southerngrindcoffeehouse.com,,,(251) 923-3265,4.5
Southern Shores Coffee (Gulf Shores),Gulf Shores,"17287 Hwy 59, Gulf Shores AL 36542",https://southernshorescoffee.com,,,(251) 923-0049,4.5
The Steamer & Baked Oyster Bar (Gulf Shores),Gulf Shores,"Behind Souvenir City, W 1st Ave, Gulf Shores, AL",https://gulfcoaststeamer.com,,,(251) 948-4042,4.5
Sunliner Diner (Gulf Shores),Gulf Shores,"100 E 2nd Ave, Gulf Shores AL 36542",https://sunlinerdiner.com,,,(251) 937-6600,4.5
Surfside Pizza (Orange Beach),Orange Beach,"25241 Perdido Beach Blvd, Orange Beach AL 36561",https://surfsidepizza.com,,,(251) 974-1010,4.5
Sweet Cone Alabama (Candy & Ice Cream),Orange Beach,"26651 Perdido Beach Blvd Ste C, Orange Beach AL 36561",,,,(251) 981-1675,4.5
Tacky Jacks,Orange Beach,"27206 Safe Harbor Dr, Orange Beach, AL 36561",https://tackyjacks.com,,,(251) 981-4144,4.3
Tacky Jack's – Gulf Shores,Gulf Shores,"240 E 24th Ave, Gulf Shores, AL 36542",https://tackyjacks.com,,,(251) 948-8881,4.5
Tee Off at The Wharf,Orange Beach,"4619 Main Street Suite A102, Orange Beach, Alabama 36561",https://teeoffatthewharf.com,,,(251) 228-4899,4.5
Tequila Mexican Restaurant – Orange Beach,Orange Beach,"25405 Perdido Beach Blvd Ste 1, Orange Beach AL 36561",https://tequilamexicanoba.com,,,(251) 981-5350,4.5
The Gulf,Orange Beach,"27500 Perdido Beach Blvd, Orange Beach, AL 36561",https://thegulf.com/locations/orange-beach/,,,(251) 974-1100,4.8
The Hangout,Gulf Shores,"101 E Beach Blvd, Gulf Shores, AL 36542",https://www.thehangoutal.com,https://www.facebook.com/TheHangoutAL,https://www.instagram.com/thehangoutal,(251) 948-3030,4.5
The Point Restaurant,Gulf Shores,"14340 Innerarity Point Road, Perdido Key, FL 32507",https://thepointperdido.com,,,(850) 492-3577,4.5
Tiki & Raw Bar,Orange Beach,"27844 Canal Rd, Orange Beach, AL",https://tikibarorangebeach.com,,,(251) 000-0000,4.5
Tin Top Restaurant & Oyster Bar (Bon Secour),Gulf Shores,"17451 County Rd 49 S, Bon Secour, AL 36511",https://tintoprestaurant.com,,,(251) 949-5086,4.5
The Ugly Diner (Gulf Shores),Gulf Shores,"2200 E 2nd St Ste F, Gulf Shores, AL 36542",,,,(251) 948-0034,4.5
The Undertow Bar & Grill (Orange Beach),Orange Beach,"25025 Canal Rd, Orange Beach, AL 36561",https://undertowob.com,,,(251) 981-9811,4.5
Villaggio Grille,Orange Beach,"4790 Main Street, Orange Beach, AL 36561",https://villaggiogrille.com/,,,(251) 224-4788,4.6
Wolf Bay Restaurant – Foley,Gulf Shores,"20801 Miflin Rd, Foley, AL 36535",https://wolfbaylodge.com,,,(251) 965-5129,4.5
Wolf Bay Orange Beach,Orange Beach,"24131 Perdido Beach Blvd, Orange Beach, AL 36561",https://www.wolfbay.com,,,(251) 965-5129,4.5
Wolf Bay Restaurant,Orange Beach,"26619 Perdido Beach Blvd, Orange Beach, AL 36561",https://wolfbayrestaurant.com/,,,(251) 981-6991,4.5
WolfBay Foley vertical clean,Gulf Shores,,,,,,
WolfBay OrangeBeach vertical cl,Gulf Shores,,,,,,
Woodside Restaurant (Gulf State Park),Gulf Shores,"20249 State Park Rd, Gulf Shores AL 36542",https://woodsideatgsp.com,,,(251) 923-3100,4.5
