name,address,website,facebook,instagram,phone,rating
Hog Wild Beach & BBQ (Gulf Shores),"911 Gulf Shores Pkwy, Gulf Shores AL 36542",https://hogwildbeachandbbq.com,,,(251) 600-9453,4.5
Island Wing Company (Gulf Shores),"3800 Gulf Shores Pkwy #100, Gulf Shores AL 36542",https://islandwing.com,,,(251) 948-2625,4.5
Janino's Pizza (Gulf Shores),"100 W 6th Ave, Gulf Shores AL 36542",https://janinospizza.com,,,(251) 968-3267,4.5
Jesse's on the Bay,"1631 Crosswinds Ct, Bon Secour, AL 36511",https://jessesrestaurant.com,,,(251) 965-3827,4.5
King Neptune's Seafood Restaurant,"1137 Gulf Shores Pkwy, Gulf Shores, AL 36542",https://kingneptunes.website,,,(251) 968-5464,4.5
Kitty's Kafé (Gulf Shores),"Pelican Place Shops, 3800 Gulf Shores Pkwy #100, Gulf Shores AL 36542",https://kittyskafe.com,,,(251) 948-5233,4.5
LuLu's Gulf Shores,"200 E 25th Ave, Gulf Shores, AL 36542",https://lulubuffett.com/,https://www.facebook.com/LuLusGulfShores,https://www.instagram.com/lulusgulfshores,(251) 967-5858,4.5
Lunas Eat and Drink Full Catego,,,,,,
Mikee's Seafood,"251 Gulf Shores Pkwy, Gulf Shores, AL 36542",https://mikeesseafood.com,,,(251) 948-6452,4.5
Miso Seafood & Sushi Bar (Gulf Shores),"3800 Gulf Shores Pkwy #230, Gulf Shores, AL 36542",https://misoseafoodandsushi.com,,,(251) 948-2228,4.5
Nonna's Pizzeria (Foley),"112 S McKenzie St, Foley AL 36535",https://nonnaspizzafoley.com,,,(251) 943-8811,4.5
Original Oyster House (Gulf Shores),"701 Gulf Shores Pkwy, Gulf Shores, AL 36542",https://originaloysterhouse.com,,,(251) 948-2445,4.5
Papa Rocco's (Gulf Shores),"101 W 6th Ave, Gulf Shores, AL 36542",https://paparocco.com,,,(251) 948-7262,4.5
PapaRoccos GulfShores vertical,,,,,,
Perch at Gulf State Park (The Lodge),"21196 E Beach Blvd, Gulf Shores, AL 36542",https://perchgsp.com,,,(251) 540-6100,4.5
Picnic Beach (Gulf Shores),"128 E 1st Ave, Gulf Shores AL 36542",https://picnicbeachgs.com,,,(251) 540-0117,4.5
Pink Pony Pub,"137 E Gulf Pl, Gulf Shores, AL 36542",https://pinkponypub.net,https://www.facebook.com/pinkponypub,https://www.instagram.com/pinkponypub,(251) 948-6371,4.4
The Point Restaurant & Bar (Perdido Key),"14340 Innerarity Point Rd, Perdido Key FL 32507",https://thepointperdido.com,,,(850) 492-3577,4.5
Portabella's Restaurant (Foley),"321 S McKenzie St, Foley AL 36535",https://portabellasrestaurant.net,,,(251) 943-7773,4.5
Sassy Bass Cookout Tiki Bar,"375 Plantation Rd, Gulf Shores, AL 36542",,,,(251) 923-0020,4.5
SassyBassAmazinGrill GulfShores,,,,,,
SassyBassIslandGrill GulfShores,,,,,,
SassyBassPizza GulfShores verti,,,,,,
Scoops Olde Fashion Ice Cream Parlor,"601 Gulf Shores Pkwy, Gulf Shores AL 36542",,,,(251) 948-4800,4.5
Sea N Suds,"405 E Beach Blvd, Gulf Shores, AL 36542",https://sea-n-suds.com,,,(251) 948-7894,
ShippsDockside Full Data 5Sheet,,,,,,
Southern Shores Coffee (Gulf Shores),"17287 Hwy 59, Gulf Shores AL 36542",https://southernshorescoffee.com,,,(251) 923-0049,4.5
The Steamer & Baked Oyster Bar (Gulf Shores),"Behind Souvenir City, W 1st Ave, Gulf Shores, AL",https://gulfcoaststeamer.com,,,(251) 948-4042,4.5
Sunliner Diner (Gulf Shores),"100 E 2nd Ave, Gulf Shores AL 36542",https://sunlinerdiner.com,,,(251) 937-6600,4.5
Tacky Jack's – Gulf Shores,"240 E 24th Ave, Gulf Shores, AL 36542",https://tackyjacks.com,,,(251) 948-8881,4.5
The Hangout,"101 E Beach Blvd, Gulf Shores, AL 36542",https://www.thehangoutal.com,https://www.facebook.com/TheHangoutAL,https://www.instagram.com/thehangoutal,(251) 948-3030,4.5
The Point Restaurant,"14340 Innerarity Point Road, Perdido Key, FL 32507",https://thepointperdido.com,,,(850) 492-3577,4.5
Tin Top Restaurant & Oyster Bar (Bon Secour),"17451 County Rd 49 S, Bon Secour, AL 36511",https://tintoprestaurant.com,,,(251) 949-5086,4.5
The Ugly Diner (Gulf Shores),"2200 E 2nd St Ste F, Gulf Shores, AL 36542",,,,(251) 948-0034,4.5
Wolf Bay Restaurant – Foley,"20801 Miflin Rd, Foley, AL 36535",https://wolfbaylodge.com,,,(251) 965-5129,4.5
WolfBay Foley vertical clean,,,,,,
WolfBay OrangeBeach vertical cl,,,,,,
Woodside Restaurant (Gulf State Park),"20249 State Park Rd, Gulf Shores AL 36542",https://woodsideatgsp.com,,,(251) 923-3100,4.5
